"NomBan","NomAlb","NomCan","Estrellas"
"A Day to Remember","Attack of the Killer B-Sides","Since U Been Gone","1"
"A Day to Remember","For Those Who Have Heart","Fast Forward to 2012","0"
"A Day to Remember","For Those Who Have Heart","Monument","0"
"A Day to Remember","For Those Who Have Heart","The Plot to Bomb the Panhandle","1"
"A Day to Remember","Homesick","Have Faith in Me","2"
"A Day to Remember","Homesick","I'm Made of Wax, Larry, What Are You Made of?","2"
"A Day to Remember","Homesick","If It Means a Lot to You","3"
"A Day to Remember","Homesick","Mr. Highway's Thinking About the End","1"
"A Day to Remember","Homesick","The Downfall of Us All","3"
"A Day to Remember","What Separates Me from You","All I Want","3"
"A Day to Remember","What Separates Me from You","All Signs Point to Lauderdale","2"
"AC/DC","Back in Black","Back in Black","3"
"AC/DC","Back in Black","Hells Bells","2"
"AC/DC","Back in Black","Shoot to Thrill","2"
"AC/DC","Back in Black","You Shook Me All Night Long","2"
"AC/DC","Dirty Deeds Done Dirt Cheap","Dirty Deeds Done Dirt Cheap","2"
"AC/DC","High Voltage","It's a Long Way to the Top","1"
"AC/DC","Highway to Hell","Highway to Hell","3"
"AC/DC","Let There Be Rock","Let There Be Rock","1"
"AC/DC","Let There Be Rock","Whole Lotta Rosie","0"
"AC/DC","T.N.T.","T.N.T.","2"
"AC/DC","The Razors Edge","Tunderstruck","3"
"Accept","Balls to the Wall","Balls to the Wall","3"
"Accept","Balls to the Wall","London Leatherboys","0"
"Accept","Balls to the Wall","Winterdreams","0"
"Accept","Blood of the Nations","Kill the Pain","0"
"Accept","Blood of the Nations","Pandemic","1"
"Accept","Blood of the Nations","Teutonic Terror","2"
"Accept","Breaker","Breaker","0"
"Accept","Metal Heart","Metal Heart","2"
"Accept","Metal Heart","Midnight Mover","0"
"Accept","Restless and Wild","Fast as a Shark","3"
"Accept","Restless and Wild","Princess of the Down","3"
"Accept","Restless and Wild","Restless and Wild","1"
"Accept","Stalingrad","Shadow Soldiers","0"
"After Forever","After Forever","Discord","3"
"After Forever","After Forever","Dreamflight","0"
"After Forever","After Forever","Energize Me","3"
"After Forever","After Forever","Equally Destructive","1"
"After Forever","After Forever","Evoke","0"
"After Forever","After Forever","Withering Time","0"
"After Forever","Decipher","Emphasis","0"
"After Forever","Decipher","Monolith of Doubt","3"
"After Forever","Decipher","My Pledge of Allegiance #1: The Sealed Fate","1"
"After Forever","Invisible Circles","Beautiful Emptiness","1"
"After Forever","Invisible Circles","Digital Deceit","0"
"After Forever","Prison of Desire","Beyond Me","1"
"After Forever","Prison of Desire","Follow in the Cry","2"
"After Forever","Remagine","Being Everyone","0"
"After Forever","Remagine","Come","2"
"After Forever","Remagine","Face Your Demons","0"
"Agalloch","Ashes Against the Grain","Falling Snow","3"
"Agalloch","Ashes Against the Grain","Fire Above, Ice Below","1"
"Agalloch","Ashes Against the Grain","Limbs","3"
"Agalloch","Ashes Against the Grain","Not Unlike the Waves","3"
"Agalloch","Ashes Against the Grain","Our Fortress Is Burning... II: Bloodbirds","1"
